標題,檔名,來源網址
"民國102年度 > 民國102年度中央政府總決算及特別決算審核報告摘要 > 民國102年度中央政府總決算及特別決算審核報告摘要.pdf",34ef414dd0ed463f296af57ce2e5010b.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1829_4604808_57496.pdf
"民國102年度 > 中華民國102年度中央政府總決算審核報告（含附屬單位決算及綜計表） > 102年度中央政府總決算審核報告（含附屬單位決算及綜計表）.pdf",e5cae22fedbd457989e8bc7e0a16b5f9.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/57/pta_1651_3840060_14409.pdf
"民國102年度 > 中華民國102年度中央政府總決算審核報告（附冊-總決算部分） > 附冊(總決算部分).pdf",2426094f810e9b78ca85a8ecef36726d.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/56/pta_1649_8386186_13638.pdf
"民國102年度 > 中華民國102年度中央政府總決算審核報告（附冊-非營業部分） > 附冊(非營業部分).pdf",2e6d3ce8bfc3908d17b74ab5aa8b11dd.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/55/pta_1648_1677379_13559.pdf
"民國102年度 > 中華民國102年度中央政府總決算審核報告（附冊-營業部分） > 附冊(營業部分).pdf",5183190f6da89990fa087c6e62484714.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/54/pta_1647_5823034_13336.pdf
"民國102年度 > 中央政府易淹水地區水患治理計畫第3期特別決算審核報告 > 中央政府易淹水地區水患治理計畫第3期特別決算審核報告.pdf",e64fd0a52a441e41f3cacca466d6a43f.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/53/pta_1646_5054073_13271.pdf
"民國102年度 > 中華民國102年度臺北市地方總決算審核報告（含附屬單位決算及綜計表） > 中華民國102年度臺北市地方總決算審核報告.pdf",37ba817b2a29f0050104147f770b6b0d.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/52/pta_1710_4177789_19606.pdf
"民國102年度 > 中華民國102年度新北市地方總決算審核報告（含附屬單位決算及綜計表） > 中華民國102年度新北市地方總決算審核報告（含附屬單位決算及綜計表）.pdf",ff20fec6c2f0e3aa65d94f044411e279.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/51/pta_1644_2379969_13148.pdf
"民國102年度 > 中華民國102年度臺中市地方總決算審核報告（含附屬單位決算及綜計表） > 中華民國102年度臺中市地方總決算審核報告（含附屬單位決算及綜計表）.pdf",f1eee7e0257b4ff54d2a526fc2667f2b.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/49/pta_1655_3181858_09863.pdf
"民國102年度 > 中華民國92年度至102年度大都會歌劇院特別決算審核報告 > 中華民國92年度至102年度大都會歌劇院特別決算審核報告.pdf",6ea4ddadb57f3c15eddb36fbfb5e4a5b.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/50/pta_1656_9667678_09894.pdf
"民國102年度 > 中華民國102年度臺南市地方總決算審核報告（含附屬單位決算及綜計表） > 中華民國102年度臺南市地方總決算審核報告（含附屬單位決算及綜計表）.pdf",c4a2a8562a9254b5231554a6c0e7b492.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/48/pta_1641_2363017_12920.pdf
"民國102年度 > 中華民國102年度高雄市地方總決算審核報告（含附屬單位決算及綜計表） > 中華民國102年度高雄市地方總決算審核報告（含附屬單位決算及綜計表）.pdf",9a2ab96107db760c07933e8e0dd3ea9d.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/47/pta_1706_1061842_67491.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度基隆市總決算審核報告.pdf",5c120eec22be39900fb4f57293c59fb5.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1672_8212646_93582.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度宜蘭縣總決算審核報告.pdf",31222127a0c53c4475405047e8e97aec.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1707_2380463_47397.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度桃園縣總決算審核報告.pdf",ceb449d805da696f5f4a62f12f690dd9.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1674_5526234_93582.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度新竹縣總決算審核報告.pdf",10d00e814e0c1cca119c69d9f0cac429.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1675_2343177_93582.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度新竹市總決算審核報告.pdf",6bb1766ab33f8b316a30807be5939c86.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1698_296606_94451.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度苗栗縣總決算審核報告.pdf",2d4540f45679b7160d151f898f70a019.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1709_1441411_08291.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度彰化縣總決算審核報告.pdf",032d53de338c811f80a20903b8fc33a1.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1678_2287110_93598.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度南投縣總決算審核報告.pdf",cd50a622e460ae1eb068a4e8361e7ded.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1679_9457437_93610.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度雲林縣總決算審核報告.pdf",32118c15eccea0cb42bdd28a9fe0b3c9.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1680_7301188_93614.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度嘉義縣總決算審核報告.pdf",dcc5a4bc0ba74e4c3cbfb7fb7e770185.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1681_8173636_93665.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年嘉義擴大縣治所在地第一期發展區開發計畫特別決算審核報告.pdf",000e5986e2f24b6b431abbdd89683b72.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1690_4974580_93824.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度嘉義市總決算審核報告.pdf",96d921b48b90c09ee15cbe3495473ab2.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1717_7187173_71631.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度屏東縣總決算審核報告.pdf",9128aee75b78bde8559226667f795dfb.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1692_6727826_93824.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度花蓮縣總決算審核報告.pdf",053f89896c72850e0aaeac540745a16e.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1773_433412_46899.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度臺東縣總決算審核報告.pdf",c748d926ad9f6ae7595aca1dce5581d6.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1741_7195077_32690.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度澎湖縣總決算審核報告.pdf",dab2e5dc4244f9ae8a6491c9be968ed0.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1695_6219641_93883.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度金門縣總決算審核報告.pdf",ed8ba1f182bd2eab2ba61cbf746289e1.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1696_6166162_93883.pdf
"民國102年度 > 中華民國102年度各縣市總決算審核報告 > 102年度連江縣總決算審核報告.pdf",11dc99a28df1c0fcd40d92dc100a0de9.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/46/pta_1697_8054556_93883.pdf
