標題,檔名,來源網址
"民國101年度 > 民國101年度中央政府總決算及特別決算審核報告擇要 > 民國101年度中央政府總決算及特別決算審核報告擇要.pdf",7f7f0af2d8b61a52ed36d15220dff104.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/75/pta_1313_6671168_33740.pdf
"民國101年度 > 中華民國101年度中央政府總決算審核報告（含附屬單位決算及綜計表） > 101年度中央政府總決算審核報告(含附屬單位決算及綜計表).pdf",31d8e2bf2da9738237e3741e43d8786b.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/52/pta_1134_4276794_26152.pdf
"民國101年度 > 中華民國101年度中央政府總決算審核報告（附冊-總決算部分） > 101年度中央政府總決算審核報告(附冊-總決算部分).pdf",0305c692340f9673cf21d96c6e7c10e0.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/51/pta_1133_8912419_26084.pdf
"民國101年度 > 中華民國101年度中央政府總決算審核報告（附冊-非營業部分） > 101年度中央政府總決算審核報告(附冊-非營業部分).pdf",1243cc93a61fcedd4e89092924c74d31.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/49/pta_1131_5035760_25653.pdf
"民國101年度 > 中華民國101年度中央政府總決算審核報告（附冊-營業部分） > 101年度中央政府總決算審核報告（附冊-營業部分）.pdf",d4c7e0c917aa717e06efae29f2c3accb.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/50/pta_1132_853559_25698.pdf
"民國101年度 > 中央政府莫拉克颱風災後重建特別決算審核報告 > 中央政府莫拉克颱風災後重建特別決算審核報告.pdf",9cafafb5354f8fcacff8934d75198a8f.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/48/pta_1130_1240747_25557.pdf
"民國101年度 > 中華民國101年度臺北市地方總決算審核報告（含附屬單位決算及綜計表） > 101年度臺北市地方總決算審核報告.pdf",3c49cbee43d4f118bae4bc544f3ad296.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/69/pta_1152_6130427_52298.pdf
"民國101年度 > 臺北都會區大眾捷運系統建設計畫後續路網南港線東延段特別決算審核報告 > 臺北都會區大眾捷運系統後續路網南港線東延段特別決算審核報告.pdf",7a2f3e0e964663432656615a662f001b.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/68/pta_1151_5332925_52251.pdf
"民國101年度 > 中華民國101年度新北市地方總決算審核報告（含附屬單位決算及綜計表） > 101年度新北市地方總決算審核報告.pdf",d685a95f3e4ad8e128b7a0c33d7dfab3.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/67/pta_1150_1736833_52125.pdf
"民國101年度 > 中華民國101年度臺中市地方總決算審核報告（含附屬單位決算及綜計表） > 101年度臺中市地方總決算審核報告.pdf",e66402008f6dd85969d7836c7e983828.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/66/pta_1149_9428217_52087.pdf
"民國101年度 > 中華民國101年度臺南市地方總決算審核報告（含附屬單位決算及綜計表） > 101年度臺南市地方總決算審核報告.pdf",409108bc4d27045ea2b60c8fbae7d8d1.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/65/pta_1148_4409725_52012.pdf
"民國101年度 > 中華民國101年度高雄市地方總決算審核報告（含附屬單位決算及綜計表） > 101年度高雄市地方總決算審核報告.pdf",11f9a0d5d7f4b37de633acf0f10f1ad1.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/64/pta_1147_5263302_51968.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度基隆市總決算審核報告.pdf",4acfa40b8debd25f01cf32c7e21e153b.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1178_5308972_45802.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度宜蘭縣總決算審核報告.pdf",42a9c49054b3c613c33f1df4edd09586.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1154_4083635_54900.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度桃園縣總決算審核報告.pdf",9f13f9a9a08d568955d007963d5f532d.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1155_6585692_54900.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度新竹縣總決算審核報告.pdf",e7b16647f1eb64a26584dd91d78d5f28.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1156_2634482_54900.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度新竹市總決算審核報告.pdf",1273890e102044eebb94742ffb4e5bbc.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1172_5057314_40015.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度苗栗縣總決算審核報告.pdf",a69ee718bc868d582931e34084dcd9ba.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1158_1617391_54900.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度彰化縣總決算審核報告.pdf",72c32482cd0e9d59c3584e2821220435.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1159_6546822_54902.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度南投縣總決算審核報告.pdf",f313ad7bac55634a70c457c6462ddae1.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1160_7029687_54902.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度雲林縣總決算審核報告.pdf",b1662d747c72fa19d8bbdea8990aa494.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1161_7662913_54902.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度嘉義縣總決算審核報告.pdf",5a6444f399f4362fc3ae26857b9e2c8b.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1162_4397140_54902.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 嘉義大埔美智慧型工業園區後期I區開發計畫特別決算審核報告.pdf",e42b65165305ab60e20161285a8415e5.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1170_605894_54932.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度嘉義市總決算審核報告.pdf",086fbed6ee4ef27ad8efb9b27ee69b5c.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1179_3955487_14561.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度屏東縣總決算審核報告.pdf",b94de3975811725ba7d199d54574aa44.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1164_980344_54905.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度花蓮縣總決算審核報告.pdf",21182ddee27d05a14a4fc88ec6773cae.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1165_261736_54905.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度臺東縣總決算審核報告.pdf",9973cad4b25367448d1f69d5c8de4554.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1166_8881720_54906.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度澎湖縣總決算審核報告.pdf",521185ebcb71a24bb211070b87655564.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1167_8438038_54906.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度金門縣總決算審核報告.pdf",a6980ff9fb6e2d97b417c16ca4dbc4eb.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1168_5017300_54906.pdf
"民國101年度 > 中華民國101年度各縣市總決算審核報告 > 101年度連江縣總決算審核報告.pdf",adf30000e95ce7b40ab5022c325244e4.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/70/pta_1169_3995062_54906.pdf
"民國100年度 > 中華民國100年度中央政府總決算審核報告（含附屬單位決算及綜計表） > 中華民國100年度中央政府總決算審核報告（含附屬單位決算及綜計表）.pdf",53b3c4dd25af55b10ca5363427eeeead.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/10/pta_135_4330098_91908.pdf
"民國100年度 > 中華民國100年度中央政府總決算審核報告（附冊-總決算部分） > 中華民國100年度中央政府總決算審核報告（附冊-總決算部分）.pdf",27d67d18a68581d80f5c7b415ec6f21a.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/9/pta_134_5641944_91846.pdf
"民國100年度 > 中華民國100年度中央政府總決算審核報告（附冊-營業部分） > 中華民國100年度中央政府總決算審核報告（附冊-營業部分）.pdf",fcb78761107d76a9ca1dfefd409ba749.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/8/pta_133_8118596_91805.pdf
"民國100年度 > 中華民國100年度中央政府總決算審核報告（附冊-非營業部分） > 中華民國100年度中央政府總決算審核報告（附冊-非營業部分）.pdf",fc4711c64b764aaa3a79a9cc4a3ac1c6.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/7/pta_132_1573852_91763.pdf
"民國100年度 > 中央政府振興經濟擴大公共建設特別決算審核報告（中華民國100年度） > 中央政府振興經濟擴大公共建設特別決算審核報告（中華民國100年度）.pdf",d7c5123dbf8ccdfb7525cc5137082536.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/6/pta_131_6596226_91701.pdf
"民國100年度 > 中央政府石門水庫及其集水區整治計畫第2期特別決算審核報告（中華民國98年度至100年度） > 中央政府石門水庫及其集水區整治計畫第2期特別決算審核報告（中華民國98年度至100年度）.pdf",b86de4dfc0013f95be78f1d0cbed0b4f.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/5/pta_130_7482207_91675.pdf
"民國100年度 > 中華民國100年度臺北市地方總決算審核報告（含附屬單位決算及綜計表） > 中華民國100年度臺北市地方總決算審核報告（含附屬單位決算及綜計表）.pdf",77a4fe703e1c6137b06d6ea938be5684.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/4/pta_129_7750703_91625.pdf
"民國100年度 > 臺北文化體育園區開發案特別決算審核報告 > 臺北文化體育園區開發案特別決算審核報告.pdf",b14246cd8dfe3376cf96fe33bf3e7c5b.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/3/pta_128_4988813_91523.pdf
"民國100年度 > 臺北都會區大眾捷運系統建設計畫第三期工程特別決算審核報告 > 臺北都會區大眾捷運系統建設計畫第三期工程特別決算審核報告.pdf",815b0f40e904e575a6e83def95245e38.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/2/pta_127_6852076_91494.pdf
"民國100年度 > 中華民國100年度新北市地方總決算審核報告（含附屬單位決算及綜計表） > 中華民國100年度新北市地方總決算審核報告（含附屬單位決算及綜計表）.pdf",ab9b0a218fe02d2cdf22a0d002626230.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/1/pta_126_8834756_91468.pdf
"民國100年度 > 中華民國100年度臺中市總決算審核報告（含附屬單位決算及綜計表） > 中華民國100年度臺中市總決算審核報告（含附屬單位決算及綜計表）.pdf",618db727a1c23ab56b8729c06b1e6a9c.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/0/pta_125_6897357_91418.pdf
"民國100年度 > 中華民國100年度臺南市地方總決算審核報告（含附屬單位決算及綜計表） > 中華民國100年度臺南市地方總決算審核報告（含附屬單位決算及綜計表）.pdf",4cbf74a2d64e0c533b1d4bbe7e5d2b7a.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/96/pta_124_5785820_91388.pdf
"民國100年度 > 中華民國100年度高雄市地方總決算審核報告（含附屬單位決算及綜計表） > 中華民國100年度高雄市地方總決算審核報告（含附屬單位決算及綜計表）.pdf",add782658bc23ad2d23c2985fa82f421.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/95/pta_123_2977233_91344.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度基隆市總決算審核報告.pdf",ee52be2745106c66e15dccfc62d0b642.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_638_8054584_72656.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度宜蘭縣總決算審核報告.pdf",d526cb5b57b128db587be28a93e252bd.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_639_8911785_72656.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度桃園縣總決算審核報告.pdf",a0db98bcb75c4486235b9fddd4c0fb78.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_640_5711718_72656.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度新竹縣總決算審核報告.pdf",1710be49d5900b6d292f2b3dca6ca41a.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_641_4847710_72727.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度新竹市總決算審核報告.pdf",206ab674891b72e98975292db599ccf0.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_642_7705400_72727.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度苗栗縣總決算審核報告.pdf",bb7150e6083602562ec6d93f20e737b6.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_643_6553728_72727.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度彰化縣總決算審核報告.pdf",31b293d804fcccd4228d8cad04b0c073.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_644_4626916_72727.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度南投縣總決算審核報告.pdf",6d16ac506012054e5ce238cbffb0814c.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_645_7501811_72728.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度雲林縣總決算審核報告.pdf",fffcc7086872b66c2d967b0002c43e4f.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_646_6828427_72728.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度嘉義縣總決算審核報告.pdf",558b973a4a48ff1c9ef9c8c8092237d1.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_647_6347054_72728.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度嘉義市總決算審核報告.pdf",ba085ede45df544b69cf2d585fb8fff3.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_648_2775600_72728.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度屏東縣總決算審核報告.pdf",edef504456a6c316c24311d865240cd3.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_649_8039769_72819.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度花蓮縣總決算審核報告.pdf",10d93446ba372845a0408934a4604239.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_650_9326555_72820.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度臺東縣總決算審核報告.pdf",f54f4605b78b37d1169ac23913c75789.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_651_2014770_72820.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度澎湖縣總決算審核報告.pdf",40201169f1d302df710fcd53114a1639.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_652_5454480_72820.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度金門縣總決算審核報告.pdf",4270ebca2675e6b9c1bf5bcce6c85edb.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_653_2784270_72820.pdf
"民國100年度 > 中華民國100年度各縣市總決算審核報告 > 中華民國100年度連江縣總決算審核報告.pdf",d13249d2c9b3ed42acd30bc92daaf7f2.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/94/pta_654_9614654_72820.pdf
"民國99年度 > 中華民國99年度中央政府總決算審核報告（含附屬單位決算及綜計表） > 中華民國99年度中央政府總決算審核報告.pdf",9937b0d9105ec65a2615a808d70fe25d.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/85/pta_662_2070587_73542.pdf
"民國99年度 > 中華民國99年度中央政府總決算審核報告（附冊-總決算部分） > 中華民國99年度中央政府總決算審核報告（附冊-總決算部分）.pdf",a28dae6dc22360dc8d4499b002c5cd06.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/84/pta_659_3642453_73510.pdf
"民國99年度 > 中華民國99年度中央政府總決算審核報告（附冊-非營業部分） > 中華民國99年度中央政府總決算審核報告（附冊-非營業部分）.pdf",624a2127e02cc8fd2abc833bb956bd43.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/82/pta_661_2696545_73531.pdf
"民國99年度 > 中華民國99年度中央政府總決算審核報告（附冊-營業部分） > 中華民國99年度中央政府總決算審核報告（附冊-營業部分）.pdf",0a85cd01e0a63a750c02a041a0656011.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/83/pta_660_7575974_73522.pdf
"民國99年度 > 中央政府振興經濟擴大公共建設特別決算審核報告（中華民國99年度） > 99振興審核報告.pdf",b124b4f521f2a087b53bfe4c9e60dd7b.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/81/pta_658_3381748_73492.pdf
"民國99年度 > 中央政府易淹水地區水患治理計畫第2 期特別決算審核報告(中華民國97年度至99年度) > 易淹水第2期審核報告.pdf",6b2f72a2efddbc1117bad3abd26a9590.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/80/pta_657_4242473_73477.pdf
"民國99年度 > 中華民國99年度臺北市地方總決算審核報告（含附屬單位決算及綜計表） > 99臺北市地方總決算審核報告.pdf",42be0e03bfa0886d47a43322d54c8256.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/78/pta_656_6561420_73467.pdf
"民國99年度 > 中華民國99年度高雄市地方總決算審核報告（含附屬單位決算及綜計表） > 99高雄市地方總決算審核報告.pdf",d438cc73309e4820eee9c74049355cdd.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/77/pta_655_2701968_73455.pdf
"民國99年度 > 中華民國99年度各縣市總決算審核報告 > 99年度基隆市總決算審核報告.pdf",379b3cb8c1f265396319fe19e6754b9d.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/79/pta_663_1454243_73849.pdf
"民國99年度 > 中華民國99年度各縣市總決算審核報告 > 99年度臺北縣總決算審核報告.pdf",8bc33c1dba78ece8b55f9392a891a3bc.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/79/pta_664_2649341_73850.pdf
"民國99年度 > 中華民國99年度各縣市總決算審核報告 > 99年度宜蘭縣總決算審核報告.pdf",514a08630e3d164b327926b433df4ea3.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/79/pta_665_3757249_73850.pdf
"民國99年度 > 中華民國99年度各縣市總決算審核報告 > 99年度桃園縣總決算審核報告.pdf",70e4597c9d343b319b1893ee517890fa.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/79/pta_666_4422400_73850.pdf
"民國99年度 > 中華民國99年度各縣市總決算審核報告 > 99年度新竹縣總決算審核報告.pdf",91f1e9d9c8c38db21e6bd730d78d5d17.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/79/pta_667_6571283_73850.pdf
"民國99年度 > 中華民國99年度各縣市總決算審核報告 > 99年度新竹市總決算審核報告.pdf",abaaf508203afd430e7eaf99c060d275.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/79/pta_668_9119547_73850.pdf
"民國99年度 > 中華民國99年度各縣市總決算審核報告 > 99年度苗栗縣總決算審核報告.pdf",486d948bcc0cd6047f64b6c2f17e2ae4.pdf,http://www.audit.gov.tw/ezfiles/0/1000/attach/79/pta_669_1076538_73850.pdf
